2018/09/05 10:59:03 [error] 1175#1175: *31 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_cdeadefc24eb83698da7e8acd302201c/template_cdeadefc24eb83698da7e8acd302201c.css?153611634380896"
2018/09/05 10:59:03 [error] 1172#1172: *30 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_cdeadefc24eb83698da7e8acd302201c/template_cdeadefc24eb83698da7e8acd302201c.css?153611634380896"
2018/09/05 11:01:21 [error] 1172#1172: *40 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:21 [error] 1172#1172: *45 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:36 [error] 1172#1172: *47 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:36 [error] 1172#1172: *43 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:42 [error] 1172#1172: *43 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:42 [error] 1172#1172: *44 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:44 [error] 1172#1172: *44 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
2018/09/05 11:01:44 [error] 1172#1172: *40 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_d0827352b9410a2355de92916650b3fd/template_d0827352b9410a2355de92916650b3fd.css?153611648080896"
